,token
86,"['면', '식감', '나', '꼬시래기', '국수', '오징어', '채소', '말', '특제', '소스', '간', '편식', '라이스페이퍼', '말기', '가정', '해초', '쌈', '미', '오이', '당근', '양파', '장', '깻잎', '시판', '초고추장', '술', '식초', '매실', '액']"
87,"['새우', '활용', '피자', '키', '토산', '꼬리', '부분', '영양분', '에어', '프라이', '어기', '인치', '치즈', '소스', '선택', '루', '파슬리', '약간']"
88,"['반찬', '걱정', '일', '주일', '소스', '메추', '리알', '분', '신혼', '밥상', '조림', '스팸', '캔', '청양', '고추', '올리고당', '바퀴', '마늘', '커피', '스푼', '참기름', '통깨', '간장', '설탕', '맛술', '물', '종이컵']"
89,"['조카', '집', '참치', '캔', '계란', '아이', '맛', '합격', '볶음밥', '완성', '면역력', '밥', '계란밥', '쌀밥', '공기', '달걀', '소금']"
90,"['여름', '전자', '렌지', '유용', '사용', '분', '완성', '계란밥', '데', '맛', '밥', '저희', '집', '효자', '메뉴', '아침', '간', '단식', '혼', '자취', '달걀', '우유', '소금', '간장', '후추', '소세지', '버섯', '대파', '쪽파', '피자', '치즈']"
91,"['요즘', '핫', '마약', '저', '드', '날씨', '난리', '짱', '맛', '계란', '소금', '스푼', '식초', '진간장', '컵', '물', '설탕', '올리고당', '양파', '대파', '대', '청양', '고추']"
92,"['꿀', '호떡', '허니', '버터', '맥나잇', '간식', '수저', '치즈', '계란', '후추', '약간']"
93,"['맛', '날', '볶음', '우동', '청양', '고추', '면', '버섯', '양파', '청경채', '숙주', '대파', '간장', '가루', '마늘', '굴', '소스', '올리고당', '물']"
94,"['전', '데', '고추', '장떡', '번', '분', '맛', '비오', '날', '최고', '분완', '밀가루', '컵', '종이컵', '물', '쪽파', '고추장']"
95,"['떡볶이', '깐', '밀떡', '양파', '대파', '당근', '간장', '술', '반', '식초', '갈색', '설탕', '물']"
96,"['채소', '정원', '수확', '루', '동안', '페스', '토', '중', '여름', '파스타', '이국', '향', '집', '대표', '봉지', '테이블', '소금', '그라인더', '후추', '티스', '치즈', '토마토']"
97,"['밥통', '카스테라', '초보', '베이', '킹', '노', '오븐', '박력분', '설탕', '카', '라유', '베이킹파우더', '계란']"
98,"['맛', '입맛', '간장', '비빔국수', '소면', '인분', '계란', '소스', '스푼', '설탕', '참기름', '마늘', '식초', '물']"
99,"['끼', '식사', '맥주', '안주', '차돌박이', '파스타', '장', '양파', '청량', '고추', '홍고추', '통마늘', '톨', '간장', '숟갈', '소스', '맛술', '마늘', '후추', '약간']"
100,"['냉동고', '냉동', '만두', '깐', '전분가', '소스', '풍만', '냉장고', '속', '자투리', '채소', '간장', '식초', '미림', '맛술', '굴', '설탕', '물', '마늘']"
101,"['미국', '최대', '로그인', '미씨', '박난', '완성', '맛', '처음', '겁니다', '외국', '로그', '대박', '특별', '중국요리', '동파육', '삼겹살', '양파', '파', '참기름', '술', '소금', '소스', '물', '컵', '간장', '설탕', '꿀']"
102,"['쪽파', '파강회', '음식', '모양', '손님', '초대', '것', '정성', '맛살', '줄', '오', '이', '빨강', '파프리카', '노랑', '오징어', '마리', '초고추장', '고추장', '술', '식초', '레몬', '즙', '설탕', '올리고당']"
103,"['항정살', '된장', '아이', '구', '이', '쌈', '샐러드', '품격', '양상추', '채소', '간장', '맛술', '올리고당', '설탕', '마늘', '참기름', '후추', '조금']"
104,"['떡', '사리', '추가', '처음', '가래떡', '불고기', '필수', '소고기', '표고버섯', '대파', '대', '설탕', '간장', '맛술', '마늘', '올리고당', '참기름', '후추', '약간']"
105,"['호박전', '뭔가', '호박', '안', '소고기', '소', '식감', '맛', '배', '영양', '만점', '완성', '일품', '대파', '기호', '홍고추', '계란', '밀가루', '약간', '간장', '맛술', '참기름', '후추']"
106,"['집', '야채', '소고기', '말', '소스', '필요', '조림', '장', '비주얼', '손님', '초대', '생일', '상차림', '메뉴', '생일상', '불고기', '파프리카', '빨강', '주황', '밑간', '간장', '술', '배', '즙', '설탕', '참기름', '맛술', '물']"
107,"['야채', '종류', '저희', '초딩', '남편', '차돌박이', '샐러드', '평소', '고기', '때문', '집들이', '음식', '채소', '팩', '손', '줌', '정도', '미림', '스푼', '후추', '조금', '오리엔탈', '드레싱', '간장', '식초', '마늘', '참기름', '올리브유', '깨']"
108,"['소고기', '쪽파', '손님', '상', '굳', '추석', '스페셜', '메뉴', '이젠', '육전', '말', '필수', '줄', '불고기', '소금', '후추', '식용유', '약간', '양념장', '간장', '설탕', '겨자', '마요네즈']"
109,"['대패', '삼겹살', '오랫만', '숙주', '은근', '궁합', '짱', '매콤', '버전', '볶음', '파', '봉지', '줌', '양파', '고춧가루', '스푼', '진간장', '올리고당', '굴', '소스', '맛술', '마늘']"
110,"['시어머니', '생신', '음식', '중', '하나', '영양', '두부', '돼지고기', '야채', '전', '육', '당근', '양파', '대파', '호박', '달걀', '왕란', '후추', '티스푼', '소금', '마늘', '밥', '수저', '참기름']"
111,"['고기', '회', '삼겹살', '수육', '은근', '집', '전기밥솥', '식감', '무말랭이', '김치', '씽', '도담', '초', '보쌈김치', '줄', '슬라이스', '간', '마늘', '후추', '약간', '절임', '채', '종이컵', '설탕', '소금', '고춧가루', '까나리', '액젓', '물엿', '숟갈']"
112,"['아웃백', '빕스', '등갈비', '바베큐', '폭', '립', '돈', '집', '데', '맛', '신혼', '소스', '황금', '비율', '등', '갈비', '대', '월계수', '잎', '장', '대파', '줄', '통마늘', '쪽', '된장', '술', '진간장', '올리고당', '맛술', '케첩', '마늘', '후추', '파슬리', '조금']"
113,"['집들이', '생일상', '등', '손님', '초대', '모양', '핑거', '푸드', '건강', '맛', '양송이버섯', '타파스', '닭', '가슴살', '양파', '파프리카', '쪽', '치즈', '장', '후추', '살짝']"
114,"['다이어트', '식단', '식상', '반찬', '그릇', '추천', '신혼', '밥상', '닭', '가슴', '쌀밥', '공기', '가슴살', '양파', '대파', '대', '마늘', '모', '렐라', '치즈', '체다', '슬라이스', '장', '토마토', '스파게티', '소스', '술']"
115,"['남편', '내편', '물', '삼계탕', '인삼', '국물', '쌈', '쌀', '전병', '거', '채소', '손님', '대접', '땐', '채', '상차림', '삼', '삼계', '말', '반죽', '즙', '술', '멥쌀가루', '찹쌀가루', '소금', '식용유', '전병소', '뿌리', '대추', '밤', '닭', '안심', '닭고기', '양념장', '된장', '물엿', '깨소금', '참기름', '후춧가루', '마늘', '소스', '식초', '설탕', '매실', '청', '연', '겨자']"
116,"['닭', '다리', '이용해', '닭다리', '스테이크', '술안주', '밥', '반찬', '통마늘', '후추', '파슬리', '약간', '소스', '간장', '술', '케첩', '식초', '설탕', '버터', '조각', '미림', '물']"
117,"['다이어트', '소주', '한자', '안주', '고민', '닭', '가슴살', '겨자', '냉채', '여름', '별미', '양파', '오이', '파프리카', '당근', '깻잎', '장', '체', '설탕', '간장', '소금', '마늘', '통깨', '식초']"
118,"['정보통', '찜', '닭', '황금', '실패', '마리', '당면', '줌', '당근', '양파', '감자', '대파', '간장', '술', '커피', '가루', '설탕', '올리고당', '마늘']"
119,"['초계탕', '초계', '국수', '생각', '메뉴', '닭', '마리', '오가피', '마늘', '대파', '양파', '황기', '엄나무', '당귀', '파프리카', '양상추', '오이', '수박', '겨자', '냉면', '육수', '식초', '달걀']"
120,"['끼', '치킨', '오븐', '주말', '집', '일품', '닭다리', '살', '팩', '올리브유', '청주', '소주', '소금', '후추', '파슬리', '가루', '피클', '굴', '소스', '미림', '물엿', '올리고당', '설탕', '마늘', '간장', '물', '약간']"
121,"['가지', '치즈', '방법', '말', '소금', '소스', '토마토소스']"
122,"['시기', '파프리카', '경우', '참치', '전', '캔', '달걀', '청양', '고추', '피망', '강색', '밀가루', '소금', '조금']"
123,"['단호박', '다이어트', '식품', '엘', '중', '영양가', '포만감', '아이', '영양', '간식', '손님', '접대용', '조림', '대추', '견과', '줌', '꿀', '계피', '가루', '생략', '가능', '간장']"
124,"['매주', '저녁', '시', '분', '방영', '수미', '반찬', '회', '목살', '찜', '포기', '물', '돼지고기', '근', '후추', '당량', '마늘', '술', '양조간장', '양파', '대파', '고춧가루']"
125,"['가지', '제철', '요즘', '말', '샐러드', '여름', '불안', '고급', '건강', '닭', '가슴살', '파프리카', '새싹', '채소', '올리브유', '간장', '마늘', '후춧가루', '소금', '통깨', '조금']"
126,"['울', '아들', '대형', '마트', '손질', '고등어', '알뜰', '엄마', '강정', '밥반찬', '술안주', '손님', '접대', '손색', '가계', '부담', '매콤', '녹말가루', '술', '마늘', '청양', '고추', '진홍', '양파', '참기름', '식용유', '간장', '올리고당', '굴', '소스', '꿀']"
127,"['엄마', '파스타', '비주얼', '맛', '인상', '기억', '집', '의외', '새우', '굴', '소스', '청양', '고추', '마늘', '버터', '마리', '파마', '치즈', '가루', '오일', '소금', '약간']"
128,"['바다', '우유', '만큼', '칼슘', '굴', '전', '맛', '양념장', '굴전', '부침', '가루', '술', '계란', '청양', '고추', '홍고추', '맛술', '소금', '식용유', '양파', '진간장', '식초', '올리고당']"
129,"['허니', '갈릭', '연어', '덩이', '소금', '집', '후추', '올리브', '오', '일', '식용유', '물', '간장', '꿀', '옥수수', '전분']"
130,"['낙지', '순간', '침', '륵', '초무침', '양념장', '맛', '발유', '끝', '필수', '양파', '미나리', '줄기', '청양', '고추', '고추장', '매실', '액', '설탕', '고춧가루', '식초', '마늘', '참기름', '통깨', '약간']"
131,"['봄바람', '입맛', '콩나물', '알', '찜', '명태', '곤', '미나리', '마늘', '술', '고추', '가루', '대파', '뿌리', '소스', '맛술', '매실', '액', '소금', '전분', '참기름', '깨', '후추', '약간', '식초']"
132,"['계란말이', '계란', '말', '케이크', '라유', '빨강', '파프리카', '노랑', '당근', '진파', '양파', '흰자', '맛소금', '설탕', '노른자', '참기름', '데코', '잎']"
133,"['자취', '치즈', '오므라이스', '양파', '양송이', '버섯', '마늘', '알', '슬라이스', '장', '계란', '우유', '밥', '공기', '소스', '쌀뜨물', '당량', '돈', '까스']"
134,"['예전', '하트', '맛', '살전', '신랑', '모임', '겸', '집들이', '가지', '중', '하나', '요걸', '남정', '건가', '완전', '인기', '만점', '음식', '사랑', '맛살', '줄', '계란', '당근', '양파', '대파', '소금', '집', '올리브유', '케첩']"
